aspectRatio,autoPlay,background,derivatives,detailUrl,download,mediaObjectId,mediaType,metadata,mimetype,shortName,source_url,title,source_height,scaleFactor_levels,source_size,source_width,resource_url,resource_num,segment_num,id,info,iiif_url,other_name
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33292:0320/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33292/,0,0,http://www.loc.gov/item/afc9999005.33292/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33292:0320/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33291/0319.jp2,,892.0,6.0,65519.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33291/,0,0,http://www.loc.gov/item/afc9999005.33291/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/full/pct:100/0/default.jpg,0319.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33291/,0,0,http://www.loc.gov/item/afc9999005.33291/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33291/,0,0,http://www.loc.gov/item/afc9999005.33291/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33291:0319/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33289/0317.jp2,,892.0,6.0,65472.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33289/,0,0,http://www.loc.gov/item/afc9999005.33289/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/full/pct:100/0/default.jpg,0317.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33289/,0,0,http://www.loc.gov/item/afc9999005.33289/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33289/,0,0,http://www.loc.gov/item/afc9999005.33289/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33289:0317/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33288/0316.jp2,,892.0,6.0,65569.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33288/,0,0,http://www.loc.gov/item/afc9999005.33288/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/full/pct:100/0/default.jpg,0316.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33288/,0,0,http://www.loc.gov/item/afc9999005.33288/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33288/,0,0,http://www.loc.gov/item/afc9999005.33288/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33288:0316/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33287/0315.jp2,,892.0,6.0,65561.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33287/,0,0,http://www.loc.gov/item/afc9999005.33287/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/full/pct:100/0/default.jpg,0315.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33287/,0,0,http://www.loc.gov/item/afc9999005.33287/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33287/,0,0,http://www.loc.gov/item/afc9999005.33287/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33287:0315/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33283/0311.jp2,,892.0,6.0,65549.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33283/,0,0,http://www.loc.gov/item/afc9999005.33283/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/full/pct:100/0/default.jpg,0311.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33283/,0,0,http://www.loc.gov/item/afc9999005.33283/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33283/,0,0,http://www.loc.gov/item/afc9999005.33283/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33283:0311/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33286/0314.jp2,,892.0,6.0,65427.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33286/,0,0,http://www.loc.gov/item/afc9999005.33286/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/full/pct:100/0/default.jpg,0314.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33286/,0,0,http://www.loc.gov/item/afc9999005.33286/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33286/,0,0,http://www.loc.gov/item/afc9999005.33286/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33286:0314/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33285/0313.jp2,,892.0,6.0,65294.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33285/,0,0,http://www.loc.gov/item/afc9999005.33285/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/full/pct:100/0/default.jpg,0313.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33285/,0,0,http://www.loc.gov/item/afc9999005.33285/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33285/,0,0,http://www.loc.gov/item/afc9999005.33285/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33285:0313/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33284/0312.jp2,,892.0,6.0,65507.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33284/,0,0,http://www.loc.gov/item/afc9999005.33284/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/full/pct:100/0/default.jpg,0312.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33284/,0,0,http://www.loc.gov/item/afc9999005.33284/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33284/,0,0,http://www.loc.gov/item/afc9999005.33284/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33284:0312/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33282/0310.jp2,,892.0,6.0,65449.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33282/,0,0,http://www.loc.gov/item/afc9999005.33282/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/full/pct:100/0/default.jpg,0310.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33282/,0,0,http://www.loc.gov/item/afc9999005.33282/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/full/pct:100.0/0/default.jpg,
